FAULT 2:00.1 S133 | cool arm ticks=80 reason=risen y=67 startY=63 ban=198,73 pos=198,67,73 walls=0/0/0 sky=15 place=38 boxed=false hold=true cool=80 ban=80 startY=63 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:00.1 S136 | END reason=risen y=67 startY=63 roseReal=true giveUp=true pos=198,67,73 walls=0/0/0 sky=15 place=38 boxed=false hold=true cool=80 ban=80 startY=63 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:03.4 S135 | S130 suppressed why=would-S130 but busy cool=14 flips=6 sameXz=66 child=CollectIronIngotTask cool=14 ban=14 hold=false pos=198,63,73 walls=4/4/4 sky=15 place=40 boxed=true hold=false cool=14 ban=14 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:03.4 S100 | stop jump-walk @198,73 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:03.4 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 2:04.1 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 2:04.1 S137 | re-cool still-boxed@198,73 n=1 ticks=160 end=risen y=67 startY=63 pos=198,63,73 walls=4/4/4 sky=15 place=41 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:06.0 S138 | shaft ban clear left-xz ban=198,73 now=198,75 manh=2 left=123 | pillar state machine: check ban column vs actual shaft column
FAULT 2:12.1 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 2:12.2 S138 | shaft ban clear left-xz ban=198,73 now=208,86 manh=23 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 2:14.5 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=207,63,86 walls=4/4/4 sky=15 place=43 boxed=true hold=false cool=0 ban=0 startY=63 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:16.3 E100 | jumps=11 @207,67,86 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:16.3 S139 | rise confirmed +4y y=67 startY=63 pos=207,67,86 walls=0/0/0 sky=15 place=41 boxed=false hold=true cool=0 ban=0 startY=63 step=37 | rise confirmed: real escape, cool armed
FAULT 2:16.3 S133 | cool arm ticks=80 reason=risen y=67 startY=63 ban=207,86 pos=207,67,86 walls=0/0/0 sky=15 place=41 boxed=false hold=true cool=80 ban=80 startY=63 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:16.3 S136 | END reason=risen y=67 startY=63 roseReal=true giveUp=true pos=207,67,86 walls=0/0/0 sky=15 place=41 boxed=false hold=true cool=80 ban=80 startY=63 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:19.6 S135 | S130 suppressed why=would-S130 but busy cool=14 flips=6 sameXz=66 child=CollectIronIngotTask cool=14 ban=14 hold=false pos=207,63,86 walls=4/4/4 sky=15 place=43 boxed=true hold=false cool=14 ban=14 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:19.6 S100 | stop jump-walk @207,86 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:20.0 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 2:20.3 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 2:20.3 S137 | re-cool still-boxed@207,86 n=1 ticks=160 end=risen y=67 startY=63 pos=207,63,86 walls=4/4/4 sky=15 place=44 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:21.7 S135 | S130 suppressed why=would-S130 but busy cool=132 flips=3 sameXz=29 child=CollectIronIngotTask cool=132 ban=132 hold=false pos=207,61,86 walls=4/4/4 sky=15 place=45 boxed=true hold=false cool=132 ban=132 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:23.3 E100 | jumps=6 @207,60,86 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
