FAULT 1:11.0 E100 | jumps=6 @-100,63,24 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:11.7 S135 | S130 suppressed why=would-S130 but busy cool=136 flips=2 sameXz=104 child=CollectIronIngotTask cool=136 ban=136 hold=false pos=-100,63,24 walls=4/4/4 sky=11 place=13 boxed=true hold=false cool=136 ban=136 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:15.7 S135 | S130 suppressed why=would-S130 but busy cool=56 flips=2 sameXz=184 child=CollectIronIngotTask cool=56 ban=56 hold=false pos=-100,60,24 walls=4/4/4 sky=8 place=14 boxed=true hold=false cool=56 ban=56 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:18.5 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=67 startY=64 | pillar state machine: check ban column vs actual shaft column
FAULT 1:27.5 E70 | iron stall 6s @-100,24 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 1:32.0 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=2 pos=-100,57,24 walls=4/4/4 sky=5 place=19 boxed=true hold=false cool=0 ban=0 startY=57 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:33.9 S139 | rise confirmed +4y y=61 startY=57 pos=-100,61,24 walls=1/4/2 sky=9 place=17 boxed=false hold=true cool=0 ban=0 startY=57 step=37 | rise confirmed: real escape, cool armed
FAULT 1:33.9 S133 | cool arm ticks=80 reason=risen y=61 startY=57 ban=-100,24 pos=-100,61,24 walls=1/4/2 sky=9 place=17 boxed=false hold=true cool=80 ban=80 startY=57 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 1:33.9 S136 | END reason=risen y=61 startY=57 roseReal=true giveUp=true pos=-100,61,24 walls=1/4/2 sky=9 place=17 boxed=false hold=true cool=80 ban=80 startY=57 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 1:37.9 S134 | pillar cool expire after flips=3 end=risen y=61 startY=57 | pillar state machine: check ban column vs actual shaft column
FAULT 1:38.5 S138 | shaft ban clear left-xz ban=-100,24 now=-100,22 manh=2 left=49 | pillar state machine: check ban column vs actual shaft column
FAULT 1:49.3 E70 | iron stall 6s @-99,17 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 2:00.6 E70 | iron stall 6s @-97,15 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 2:13.2 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-95,57,14 walls=4/4/4 sky=0 place=40 boxed=true hold=false cool=0 ban=0 startY=57 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:14.7 E100 | jumps=10 @-95,59,14 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:15.2 S130 | tick y=59 slot=1 air=false pos=-95,59,14 walls=2/2/4 sky=0 place=38 boxed=false hold=true cool=0 ban=0 startY=57 step=41 | pillar state machine: check ban column vs actual shaft column
FAULT 2:15.7 S133 | cool arm ticks=240 reason=stuck-low step=50 y=59 startY=57 ban=-95,14 pos=-95,59,14 walls=2/2/4 sky=0 place=38 boxed=false hold=true cool=240 ban=240 startY=57 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 2:15.7 S136 | END reason=stuck-low step=50 y=59 startY=57 roseReal=false giveUp=true pos=-95,59,14 walls=2/2/4 sky=0 place=38 boxed=false hold=true cool=240 ban=240 startY=57 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 2:16.2 S138 | shaft ban clear left-xz ban=-95,14 now=-97,14 manh=2 left=231 | pillar state machine: check ban column vs actual shaft column
FAULT 2:27.7 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=59 startY=57 | pillar state machine: check ban column vs actual shaft column
FAULT 2:27.7 S138 | shaft ban clear left-xz ban=-95,14 now=-100,13 manh=6 left=60 | pillar state machine: check ban column vs actual shaft column
