FAULT 0:07.9 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 6:38.0 E100 | jumps=9 @-233,71,199 ph=PORTAL child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:38.4 S130 | tick y=72 slot=1 air=false pos=-233,72,199 walls=4/0/4 sky=15 place=36 boxed=false hold=true cool=0 ban=0 startY=70 step=21 | pillar state machine: check ban column vs actual shaft column
FAULT 6:39.1 S139 | rise confirmed +4y y=74 startY=70 pos=-233,74,199 walls=0/0/0 sky=15 place=35 boxed=false hold=true cool=0 ban=0 startY=70 step=33 | rise confirmed: real escape, cool armed
FAULT 6:39.1 S133 | cool arm ticks=80 reason=risen y=74 startY=70 ban=-233,199 pos=-233,74,199 walls=0/0/0 sky=15 place=35 boxed=false hold=true cool=80 ban=80 startY=70 step=33 | pillar state machine: check ban column vs actual shaft column
FAULT 6:39.1 S136 | END reason=risen y=74 startY=70 roseReal=true giveUp=true pos=-233,74,199 walls=0/0/0 sky=15 place=35 boxed=false hold=true cool=80 ban=80 startY=70 step=33 | pillar state machine: check ban column vs actual shaft column
FAULT 6:41.6 S135 | S130 suppressed why=jump-pit-busy child=CollectFlintTask cool=30 ban=30 hold=false pos=-233,70,199 walls=4/4/4 sky=15 place=37 boxed=true hold=false cool=30 ban=30 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:41.6 S100 | stop jump-walk @-233,199 ph=PORTAL child=CollectFlintTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:43.1 S134 | pillar cool expire after jump-pit flips=6 end=risen y=74 startY=70 | pillar state machine: check ban column vs actual shaft column
FAULT 6:43.1 S137 | re-cool still-boxed@-233,199 n=1 ticks=160 end=risen y=74 startY=70 pos=-233,69,199 walls=4/4/4 sky=15 place=39 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:44.0 E116 | drop 8 from 75 to 67 ph=PORTAL | hole loop: stop place, surface bail
FAULT 6:44.7 E100 | jumps=6 @-233,66,199 ph=PORTAL child=CollectFlintTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:45.1 S135 | S130 suppressed why=jump-pit-busy child=CollectFlintTask cool=120 ban=120 hold=false pos=-233,66,199 walls=4/4/4 sky=15 place=41 boxed=true hold=false cool=120 ban=120 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:47.6 E62 | portal jump-place @-233,64,199 | see T2Codes / paste faults.log
FAULT 6:48.4 S135 | S130 suppressed why=jump-pit-busy child=CollectFlintTask cool=53 ban=53 hold=false pos=-233,63,199 walls=4/4/4 sky=15 place=44 boxed=true hold=false cool=53 ban=53 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:48.4 S100 | stop jump-walk @-233,199 ph=PORTAL child=CollectFlintTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:50.9 E100 | jumps=6 @-233,63,199 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:51.1 S134 | pillar cool expire after jump-pit flips=6 end=risen y=74 startY=70 | pillar state machine: check ban column vs actual shaft column
FAULT 6:51.1 S137 | re-cool still-boxed@-233,199 n=2 ticks=320 end=risen y=74 startY=70 pos=-233,64,199 walls=4/4/4 sky=15 place=44 boxed=true hold=false cool=320 ban=320 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:51.1 S142 | unban for real pillar attempt@-233,199 reCool=2 pos=-233,64,199 walls=4/4/4 sky=15 place=44 boxed=true hold=false cool=320 ban=320 startY=- step=0 | shaft ban lifted: 1x1 shaft cannot clear a ban by walking, so pillaring is the only way out
FAULT 6:51.3 S130 | START trigger=jump-pit flips=6 ph=PORTAL prev=ConstructNetherPortalBucketTask cycle=2 pos=-233,64,199 walls=4/4/4 sky=15 place=43 boxed=true hold=false cool=0 ban=0 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:51.4 E133 | PILLAR_PINGPONG n=4 @-233,199 in 14000ms cycles=3 lastEnd=risen y=74 startY=70 | pillar ping-pong: long ban armed at this column, walk away before re-pillaring
FAULT 6:51.4 S130 | START trigger=jump-pit flips=6 ph=PORTAL prev=ConstructNetherPortalBucketTask cycle=0 pos=-233,64,199 walls=4/4/4 sky=15 place=43 boxed=true hold=false cool=400 ban=400 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:51.5 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=399 ban=399 hold=false pos=-233,64,199 walls=4/4/4 sky=15 place=43 boxed=true hold=false cool=399 ban=399 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:56.5 S138 | shaft ban clear left-xz ban=-233,199 now=-233,201 manh=2 left=300 | pillar state machine: check ban column vs actual shaft column
FAULT 7:05.2 E116 | drop 8 from 73 to 65 ph=PORTAL | hole loop: stop place, surface bail
FAULT 7:06.4 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=100 ban=0 hold=false pos=-242,64,219 walls=4/4/4 sky=15 place=39 boxed=true hold=false cool=100 ban=0 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:06.4 S100 | stop jump-walk @-242,219 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:07.0 E100 | jumps=6 @-242,64,219 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 7:09.0 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=49 ban=0 hold=false pos=-242,65,219 walls=4/4/4 sky=15 place=38 boxed=true hold=false cool=49 ban=0 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 7:11.4 S134 | pillar cool expire after jump-pit flips=6 end=risen y=74 startY=70 | pillar state machine: check ban column vs actual shaft column
FAULT 7:11.5 S138 | shaft ban clear left-xz ban=-233,199 now=-244,215 manh=27 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 7:27.8 S120 | craft-gui jump @-245,73,186 child=ConstructNetherPortalBucketTask | see T2Codes / paste faults.log
FAULT 7:35.8 E62 | portal jump-place @-245,73,186 | see T2Codes / paste faults.log
FAULT 7:39.8 S120 | craft-gui jump @-245,73,186 child=ConstructNetherPortalBucketTask | see T2Codes / paste faults.log
FAULT 7:54.8 E116 | drop 8 from 74 to 66 ph=PORTAL | hole loop: stop place, surface bail
FAULT 8:02.4 S130 | START trigger=jump-pit flips=6 ph=PORTAL prev=ConstructNetherPortalBucketTask cycle=1 pos=-279,62,222 walls=4/4/4 sky=10 place=33 boxed=true hold=false cool=0 ban=0 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:02.5 E133 | PILLAR_PINGPONG n=4 @-279,222 in 149ms cycles=3 lastEnd=risen y=74 startY=70 | pillar ping-pong: long ban armed at this column, walk away before re-pillaring
FAULT 8:02.5 S130 | START trigger=jump-pit flips=6 ph=PORTAL prev=ConstructNetherPortalBucketTask cycle=0 pos=-279,62,222 walls=4/4/4 sky=10 place=33 boxed=true hold=false cool=400 ban=400 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:02.6 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=399 ban=399 hold=false pos=-279,62,222 walls=4/4/4 sky=10 place=33 boxed=true hold=false cool=399 ban=399 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:02.6 S100 | stop jump-walk @-279,222 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:03.2 E100 | jumps=7 @-279,61,222 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:04.7 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=356 ban=356 hold=false pos=-279,59,222 walls=4/4/4 sky=7 place=36 boxed=true hold=false cool=356 ban=356 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:05.2 E116 | drop 8 from 66 to 58 ph=PORTAL | hole loop: stop place, surface bail
FAULT 8:06.8 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=314 ban=314 hold=false pos=-279,56,222 walls=4/4/4 sky=4 place=39 boxed=true hold=false cool=314 ban=314 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:08.9 S100 | stop jump-walk @-279,222 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:09.4 E100 | jumps=6 @-279,52,222 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 8:10.8 E116 | drop 8 from 58 to 50 ph=PORTAL | hole loop: stop place, surface bail
FAULT 8:11.0 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=230 ban=230 hold=false pos=-279,50,222 walls=4/4/4 sky=0 place=45 boxed=true hold=false cool=230 ban=230 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:11.3 E62 | portal jump-place @-279,50,222 | see T2Codes / paste faults.log
FAULT 8:13.4 S135 | S130 suppressed why=jump-pit-busy child=ConstructNetherPortalBucketTask cool=183 ban=183 hold=false pos=-279,47,222 walls=4/4/3 sky=0 place=48 boxed=true hold=false cool=183 ban=183 startY=64 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 8:16.2 S138 | shaft ban clear left-xz ban=-279,222 now=-280,223 manh=2 left=128 | pillar state machine: check ban column vs actual shaft column
FAULT 0:00.0 S111 | portal child missing â€” parent must set construct | null portal child: parent must keep Construct sticky
FAULT 0:06.0 S134 | pillar cool expire after jump-pit flips=6 end=risen y=74 startY=70 | pillar state machine: check ban column vs actual shaft column
FAULT 0:06.1 S138 | shaft ban clear left-xz ban=-279,222 now=-277,228 manh=8 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 0:18.3 E100 | jumps=6 @-276,45,230 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:18.3 S100 | stop jump-walk @-276,230 ph=PORTAL child=ConstructNetherPortalBucketTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
